episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
223, -2452.2929495573044, 2, 1.9052437240002291, 81, 116806,                                             116806, 0.0, 3772.6083984375
224, -2708.6165549755096, 2, 2.9166329919999043, 142, 116948,                                             116948, 0.0, 4050.761474609375
225, 130.08982229232788, 1, 3.902447460000076, 194, 117142,                                             117142, 0.0, 3940.40625
226, -2753.426564693451, 2, 2.905343403000188, 133, 117275,                                             117275, 0.0, 4022.888671875
227, -4633.0261897444725, 2, 6.932457823000732, 363, 117638,                                             117638, 0.0, 3317.434326171875
228, 1757.584764122963, 1, 3.725840015000358, 188, 117826,                                             117826, 0.0, 4800.43896484375
229, 1604.0963219702244, 1, 6.103331883999999, 306, 118132,                                             118132, 0.0, 4383.74609375
230, -2591.171009540558, 2, 5.5092086940003355, 274, 118406,                                             118406, 0.0, 4144.69873046875
231, -2858.926938712597, 2, 3.9802143749993775, 196, 118602,                                             118602, 0.0, 4135.2138671875
232, -3757.674827337265, 3, 4.526849239000512, 218, 118820,                                             118820, 0.0, 3722.46533203125
233, 624.0043147206306, 1, 8.105628002999765, 401, 119221,                                             119221, 0.0, 4271.35498046875
234, -3275.1833308935165, 3, 7.526870693999626, 389, 119610,                                             119610, 0.0, 4855.76513671875
235, -4070.257768213749, 2, 10.32894286300052, 547, 120157,                                             120157, 0.0, 4597.02734375
236, 1362.357161283493, 1, 6.706471651000356, 338, 120495,                                             120495, 0.0, 4026.58984375
237, -2587.261644601822, 2, 1.1226268089994846, 55, 120550,                                             120550, 0.0, 5122.1357421875
238, -3687.300903439522, 2, 7.104265066999687, 360, 120910,                                             120910, 0.0, 4330.2421875
239, 1986.0380946397781, 1, 3.9190614740000456, 204, 121114,                                             121114, 0.0, 4367.67724609375
240, -4480.010881185532, 2, 7.108164602000215, 363, 121477,                                             121477, 0.0, 4212.970703125
241, -4874.792429924011, 5, 15.503213050999875, 822, 122299,                                             122299, 0.0, 4805.43896484375
242, -5358.579009652138, 2, 7.504786129999957, 387, 122686,                                             122686, 0.0, 4750.1240234375
243, 1116.9489868879318, 1, 6.9320107370003825, 363, 123049,                                             123049, 0.0, 3996.347900390625
244, -2948.0650730133057, 2, 1.6998729099996126, 78, 123127,                                             123127, 0.0, 4234.1953125
245, -5065.148408532143, 2, 9.121695488000114, 480, 123607,                                             123607, 0.0, 4760.78125
