episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
241, -4123.773661375046, 3, 7.157482648000041, 402, 82428,                                             82428, 0.0, 4749.8720703125
242, -4477.350845813751, 3, 7.314098030999958, 408, 82836,                                             82836, 0.0, 5208.2578125
243, -3212.3953561782837, 2, 3.1029312030000256, 175, 83011,                                             83011, 0.0, 5411.732421875
244, -3652.131234884262, 3, 5.070923245999893, 260, 83271,                                             83271, 0.0, 4877.45361328125
245, -5574.599658846855, 2, 13.948855108000316, 743, 84014,                                             84014, 0.0, 4778.76123046875
246, -7562.052267670631, 2, 17.149101856000016, 942, 84956,                                             84956, 0.0, 4831.5166015625
247, -3117.2335825562477, 3, 3.5337939239998377, 191, 85147,                                             85147, 0.0, 5329.80029296875
248, -2900.5716259479523, 2, 2.6848940400000174, 144, 85291,                                             85291, 0.0, 5100.822265625
249, -3179.6806581020355, 2, 3.8134337820001747, 210, 85501,                                             85501, 0.0, 5414.05810546875
250, -2879.8521097898483, 2, 2.6039674070002548, 143, 85644,                                             85644, 0.0, 4812.20263671875
251, -3576.987624168396, 2, 6.851152199999888, 367, 86011,                                             86011, 0.0, 5165.27734375
252, -3372.6697821617126, 2, 3.387733813000068, 189, 86200,                                             86200, 0.0, 4651.9814453125
253, -6337.019483923912, 2, 11.996464618000118, 654, 86854,                                             86854, 0.0, 5271.10302734375
254, -3123.753182411194, 3, 2.8734681719997752, 157, 87011,                                             87011, 0.0, 4812.3798828125
255, -3887.6093094348907, 2, 5.384100306999699, 300, 87311,                                             87311, 0.0, 5650.96337890625
256, -2820.0578355789185, 3, 2.6132626880003045, 143, 87454,                                             87454, 0.0, 4273.86279296875
257, -6082.326085329056, 3, 10.91027401800011, 603, 88057,                                             88057, 0.0, 5541.8203125
258, -3024.759107351303, 2, 1.912038037000002, 107, 88164,                                             88164, 0.0, 4867.8994140625
259, -5810.016668081284, 3, 12.4814442830002, 692, 88856,                                             88856, 0.0, 5546.92138671875
260, -4784.780854344368, 2, 8.116727287999765, 446, 89302,                                             89302, 0.0, 4820.47509765625
261, -2804.0838433504105, 2, 2.4948960770002486, 141, 89443,                                             89443, 0.0, 4692.40966796875
262, -4277.932537913322, 2, 5.986751791000188, 334, 89777,                                             89777, 0.0, 5348.525390625
263, -5843.6621879935265, 3, 14.589336431999982, 801, 90578,                                             90578, 0.0, 5594.43798828125
264, -7825.7132514715195, 3, 22.10956861800014, 1236, 91814,                                             91814, 0.0, 4798.869140625
265, -2862.5921037197113, 3, 2.760919728999852, 149, 91963,                                             91963, 0.0, 4405.138671875
266, -16171.271294534206, 3, 46.66574552899965, 2563, 94526,                                             94526, 0.0, 5186.9609375
267, -2825.376225709915, 3, 2.5128323829999317, 141, 94667,                                             94667, 0.0, 4907.1318359375
268, -2889.0863206386566, 3, 2.4674903049999557, 137, 94804,                                             94804, 0.0, 4353.8935546875
269, -2840.6292074918747, 2, 2.766062905000126, 155, 94959,                                             94959, 0.0, 4468.5126953125
270, -3570.7074543237686, 2, 6.081458167000164, 319, 95278,                                             95278, 0.0, 4575.259765625
271, -4545.598389744759, 2, 8.285282308000205, 435, 95713,                                             95713, 0.0, 5554.75048828125
272, -2987.1235687732697, 3, 2.7573011350000343, 153, 95866,                                             95866, 0.0, 5178.93408203125
